site_num,sample_num,habitat,soil_pH,comments
1,a,grassland ,3.25,site was close to stream
1,b,grassland ,3.4,site was close to stream
1,c,grassland ,4.53,site was close to stream
2,a,grassland ,4.39,
2,b,grassland ,4.6,
2,c,grassland ,3.44,
3,a,grassland ,3.79,signs of grazing observed
3,b,grassland ,4.41,signs of grazing observed
3,c,grassland ,4.25,signs of grazing observed
4,a,forest ,2.97,site was close to path 
4,b,forest ,2.87,site was close to path 
4,c,forest ,3.07,site was close to path 
5,a,forest ,3.18,
5,b,forest ,3.3,
5,c,forest ,3.18,
6,a,forest ,3.15,site was close to stream
6,b,forest ,3.21,site was close to stream
6,c,forest ,3.28,site was close to stream
